Year,1B,2B,3B,SS,OF,OF.1,OF.2,C
1980,Cecil Cooper,Willie Randolph,George Brett,Robin Yount,Ben Oglivie,Al Oliver,Willie Wilson,Lance Parrish
1981,Cecil Cooper,Bobby Grich,Carney Lansford,Rick Burleson,Rickey Henderson,Dave Winfield,Dwight Evans,Carlton Fisk
1982,Cecil Cooper,Dámaso García,Doug DeCinces,Robin Yount,Reggie Jackson,Dave Winfield,Willie Wilson,Lance Parrish
1983,Eddie Murray,Lou Whitaker,Wade Boggs,Cal Ripken Jr.,Jim Rice,Dave Winfield,Lloyd Moseby,Lance Parrish
1984,Eddie Murray,Lou Whitaker,Buddy Bell,Cal Ripken Jr.,Jim Rice,Dave Winfield,Tony Armas,Lance Parrish
1985,Don Mattingly,Lou Whitaker,George Brett,Cal Ripken Jr.,Rickey Henderson,Dave Winfield,George Bell,Carlton Fisk
1986,Don Mattingly,Frank White,Wade Boggs,Cal Ripken Jr.,Jesse Barfield,Kirby Puckett,George Bell,Lance Parrish
1987,Don Mattingly,Lou Whitaker,Wade Boggs,Alan Trammell,Dwight Evans,Kirby Puckett,George Bell,Matt Nokes
1988,George Brett,Julio Franco,Wade Boggs,Alan Trammell,Mike Greenwell,Kirby Puckett,Jose Canseco,Carlton Fisk
1989,Fred McGriff,Julio Franco,Wade Boggs,Cal Ripken Jr.,Rubén Sierra,Kirby Puckett,Robin Yount,Mickey Tettleton
1990,Cecil Fielder,Julio Franco,Kelly Gruber,Alan Trammell,Rickey Henderson,Ellis Burks,Jose Canseco,Lance Parrish
1991,Cecil Fielder,Julio Franco,Wade Boggs,Cal Ripken Jr.,Joe Carter,Ken Griffey Jr.,Jose Canseco,Mickey Tettleton
1992,Mark McGwire,Roberto Alomar,Edgar Martínez,Travis Fryman,Joe Carter,Kirby Puckett,Juan González,Mickey Tettleton
1993,Frank Thomas,Carlos Baerga,Wade Boggs,Cal Ripken Jr.,Albert Belle,Ken Griffey Jr.,Juan González,Mike Stanley
1994,Frank Thomas,Carlos Baerga,Wade Boggs,Cal Ripken Jr.,Albert Belle,Ken Griffey Jr.,Kirby Puckett,Iván Rodríguez
1995,Mo Vaughn,Chuck Knoblauch,Gary Gaetti,John Valentin,Albert Belle,Tim Salmon,Manny Ramirez,Iván Rodríguez
1996,Mark McGwire,Roberto Alomar,Jim Thome,Alex Rodriguez,Albert Belle,Ken Griffey Jr.,Juan González,Iván Rodríguez
1997,Tino Martinez,Chuck Knoblauch,Matt Williams,Nomar Garciaparra,David Justice,Ken Griffey Jr.,Juan González,Iván Rodríguez
1998,Rafael Palmeiro,Damion Easley,Dean Palmer,Alex Rodriguez,Albert Belle,Ken Griffey Jr.,Juan González,Iván Rodríguez
1999,Carlos Delgado,Roberto Alomar,Dean Palmer,Alex Rodriguez,Shawn Green,Ken Griffey Jr.,Manny Ramirez,Iván Rodríguez
2000,Carlos Delgado,Roberto Alomar,Troy Glaus,Alex Rodriguez,Darin Erstad,Magglio Ordóñez,Manny Ramirez,Jorge Posada
2001,Jason Giambi,Bret Boone,Troy Glaus,Alex Rodriguez,Ichiro Suzuki,Juan González,Manny Ramirez,Jorge Posada
2002,Jason Giambi,Alfonso Soriano,Eric Chavez,Alex Rodriguez,Garret Anderson,Magglio Ordóñez,Bernie Williams,Jorge Posada
2003,Carlos Delgado,Bret Boone,Bill Mueller,Alex Rodriguez,Garret Anderson,Vernon Wells,Manny Ramirez,Jorge Posada
2004,Mark Teixeira,Alfonso Soriano,Melvin Mora,Miguel Tejada,Gary Sheffield,Vladimir Guerrero,Manny Ramirez,Víctor Martínez &Iván Rodríguez
2005,Mark Teixeira,Alfonso Soriano,Alex Rodriguez,Miguel Tejada,Gary Sheffield,Vladimir Guerrero,Manny Ramirez,Jason Varitek
2006,Justin Morneau,Robinson Canó,Joe Crede,Derek Jeter,Jermaine Dye,Vladimir Guerrero,Manny Ramirez,Joe Mauer
2007,Carlos Peña,Plácido Polanco,Alex Rodriguez,Derek Jeter,Magglio Ordóñez,Vladimir Guerrero,Ichiro Suzuki,Jorge Posada
2008,Justin Morneau,Dustin Pedroia,Alex Rodriguez,Derek Jeter,Josh Hamilton,Carlos Quentin,Grady Sizemore,Joe Mauer
2009,Mark Teixeira,Aaron Hill,Evan Longoria,Derek Jeter,Jason Bay,Torii Hunter,Ichiro Suzuki,Joe Mauer
2010,Miguel Cabrera,Robinson Canó,Adrián Beltré,Alexei Ramírez,Josh Hamilton,Carl Crawford,José Bautista,Joe Mauer
2011,Adrián González,Robinson Canó,Adrián Beltré,Asdrúbal Cabrera,Jacoby Ellsbury,Curtis Granderson,José Bautista,Alex Avila
2012,Prince Fielder,Robinson Canó,Miguel Cabrera,Derek Jeter,Josh Hamilton,Mike Trout,Josh Willingham,A. J.  Pierzynski
2013,Chris Davis,Robinson Canó,Miguel Cabrera,J. J. Hardy,Torii Hunter,Mike Trout,Adam Jones,Joe Mauer
2014,José Abreu,José Altuve,Adrián Beltré,Alexei Ramírez,José Bautista,Mike Trout,Michael Brantley,Yan Gomes
2015,Miguel Cabrera,José Altuve,Josh Donaldson,Xander Bogaerts,Nelson Cruz,Mike Trout,J. D. Martinez,Brian McCann
2016,Miguel Cabrera,José Altuve,Josh Donaldson,Xander Bogaerts,Mookie Betts,Mike Trout,Mark Trumbo,Salvador Pérez
2017,Eric Hosmer,José Altuve,José Ramírez,Francisco Lindor,Aaron Judge,Justin Upton,George Springer,Gary Sánchez
2018,José Abreu,José Altuve,José Ramírez,Francisco Lindor,Mookie Betts,Mike Trout,J. D. Martinez,Salvador Pérez
2019,Carlos Santana,DJ LeMahieu,Alex Bregman,Xander Bogaerts,Mookie Betts,Mike Trout,George Springer,Mitch Garver
2020,José Abreu,DJ LeMahieu,José Ramírez,Tim Anderson,Eloy Jiménez,Mike Trout,Teoscar Hernández,Salvador Pérez
2021,Vladimir Guerrero Jr.,Marcus Semien,Rafael Devers,Xander Bogaerts,Teoscar Hernández,Cedric Mullins,Aaron Judge,Salvador Pérez
2022,Nathaniel Lowe,José Altuve,José Ramírez,Xander Bogaerts,Aaron Judge,Julio Rodríguez,Mike Trout,Alejandro Kirk
